"","seqid","source","type","start","end","score","strand","phase","attributes","ID"
"6125","chr08","SGD","gene",465716,467050,NA,"+",NA,"ID=YHR190W;Name=YHR190W;gene=ERG9;Alias=ERG9;Ontology_term=GO:0005783,GO:0006696,GO:0004310,GO:0005741,GO:0000287,GO:0003824,GO:0006694,GO:0006695,GO:0008299,GO:0008610,GO:0009058,GO:0016020,GO:0016021,GO:0016126,GO:0016491,GO:0016740;Note=Farnesyl-diphosphate%20farnesyl%20transferase%20(squalene%20synthase)%2C%20joins%20two%20farnesyl%20pyrophosphate%20moieties%20to%20form%20squalene%20in%20the%20sterol%20biosynthesis%20pathway;dbxref=SGD:S000001233;orf_classification=Verified","YHR190W"
"6127","chr08","SGD","gene",467101,467502,NA,"-",NA,"ID=YHR191C;Name=YHR191C;gene=CTF8;Alias=CTF8;Ontology_term=GO:0007064,GO:0000723,GO:0003674,GO:0006974,GO:0031390,GO:0003677,GO:0005634,GO:0006260,GO:0007049;Note=Subunit%20of%20a%20complex%20with%20Ctf18p%20that%20shares%20some%20subunits%20with%20Replication%20Factor%20C%20and%20is%20required%20for%20sister%20chromatid%20cohesion;dbxref=SGD:S000001234;orf_classification=Verified","YHR191C"
"6129","chr08","SGD","gene",467699,468535,NA,"+",NA,"ID=YHR192W;Name=YHR192W;Ontology_term=GO:0003674,GO:0008150,GO:0005737,GO:0016020,GO:0016021;Note=Putative%20protein%20of%20unknown%20function%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20cytoplasm%20and%20is%20induced%20in%20response%20to%20the%20DNA-damaging%20agent%20MMS;dbxref=SGD:S000001235;orf_classification=Uncharacterized","YHR192W"
"6131","chr08","SGD","gene",468584,469108,NA,"-",NA,"ID=YHR193C;Name=YHR193C;gene=EGD2;Alias=EGD2;Ontology_term=GO:0005854,GO:0051083,GO:0051082,GO:0005634,GO:0006350,GO:0006355,GO:0006810,GO:0015031;Note=Alpha%20subunit%20of%20the%20heteromeric%20nascent%20polypeptide-associated%20complex%20(NAC)%20involved%20in%20protein%20sorting%20and%20translocation%2C%20associated%20with%20cytoplasmic%20ribosomes;dbxref=SGD:S000001236;orf_classification=Verified","YHR193C"
"6133","chr08","SGD","gene",469523,469897,NA,"-",NA,"ID=YHR193C-A;Name=YHR193C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20completely%20overlaps%20verified%20ORF%20MDM31;dbxref=SGD:S000028785;orf_classification=Dubious","YHR193C-A"
"6135","chr08","SGD","gene",469527,471266,NA,"+",NA,"ID=YHR194W;Name=YHR194W;gene=MDM31;Alias=MDM31;Ontology_term=GO:0007005,GO:0003674,GO:0000001,GO:0005743,GO:0006873,GO:0005634,GO:0005739,GO:0016020,GO:0016021;Note=Mitochondrial%20inner%20membrane%20protein%20with%20similarity%20to%20Mdm32p%2C%20required%20for%20normal%20mitochondrial%20morphology%20and%20inheritance%3B%20interacts%20genetically%20with%20MMM1%2C%20MDM10%2C%20MDM12%2C%20and%20MDM34;dbxref=SGD:S000001237;orf_classification=Verified","YHR194W"
"6137","chr08","SGD","gene",471621,472586,NA,"+",NA,"ID=YHR195W;Name=YHR195W;gene=NVJ1;Alias=NVJ1,VAB36;Ontology_term=GO:0016237,GO:0005515,GO:0005635,GO:0016020,GO:0016021;Note=Nuclear%20envelope%20protein%20that%20interacts%20with%20the%20vacuolar%20membrane%20protein%20Vac8p%20to%20promote%20formation%20of%20nucleus-vacuole%20junctions%20during%20piecemeal%20microautophagy%20of%20the%20nucleus%20(PMN);dbxref=SGD:S000001238;orf_classification=Verified","YHR195W"
"6139","chr08","SGD","gene",472802,474529,NA,"+",NA,"ID=YHR196W;Name=YHR196W;gene=UTP9;Alias=UTP9;Ontology_term=GO:0030515,GO:0005730,GO:0000462,GO:0042254,GO:0005634,GO:0032040,GO:0033553,GO:0006364,GO:0030529;Note=Nucleolar%20protein%2C%20component%20of%20the%20small%20subunit%20(SSU)%20processome%20containing%20the%20U3%20snoRNA%20that%20is%20involved%20in%20processing%20of%20pre-18S%20rRNA;dbxref=SGD:S000001239;orf_classification=Verified","YHR196W"
"6141","chr08","SGD","gene",474765,477056,NA,"+",NA,"ID=YHR197W;Name=YHR197W;gene=RIX1;Alias=RIX1,IPI2;Ontology_term=GO:0005654,GO:0000054,GO:0003674,GO:0005634,GO:0006364,GO:0000027,GO:0042254;Note=Essential%20component%20of%20the%20Rix1%20complex%20(Rix1p%2C%20Ipi1p%2C%20Ipi3p)%20that%20is%20required%20for%20processing%20of%20ITS2%20sequences%20from%2035S%20pre-rRNA%3B%20Rix1%20complex%20associates%20with%20Mdn1p%20in%20pre-60S%20ribosomal%20particles;dbxref=SGD:S000001240;orf_classification=Verified","YHR197W"
"6143","chr08","SGD","gene",477183,478138,NA,"-",NA,"ID=YHR198C;Name=YHR198C;gene=FMP22;Alias=FMP22;Ontology_term=GO:0008150,GO:0003674,GO:0005739;Note=Putative%20protein%20of%20unknown%20function%3B%20the%20authentic%2C%20non-tagged%20protein%20is%20detected%20in%20highly%20purified%20mitochondria%20in%20high-throughput%20studies;dbxref=SGD:S000001241;orf_classification=Uncharacterized","YHR198C"
"6145","chr08","SGD","gene",478350,479282,NA,"-",NA,"ID=YHR199C;Name=YHR199C;gene=FMP34;Alias=FMP34;Ontology_term=GO:0003674,GO:0008150,GO:0005739;Note=Putative%20protein%20of%20unknown%20function%3B%20the%20authentic%2C%20non-tagged%20protein%20is%20detected%20in%20highly%20purified%20mitochondria%20in%20high-throughput%20studies;dbxref=SGD:S000001242;orf_classification=Uncharacterized","YHR199C"
"6147","chr08","SGD","gene",479431,479716,NA,"-",NA,"ID=YHR199C-A;Name=YHR199C-A;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20transcribed%20sequence%20appears%20to%20contain%20an%20intron;dbxref=SGD:S000029704;orf_classification=Uncharacterized","YHR199C-A"
"6151","chr08","SGD","gene",479935,480738,NA,"+",NA,"ID=YHR200W;Name=YHR200W;gene=RPN10;Alias=RPN10,SUN1,MCB1;Ontology_term=GO:0006511,GO:0004175,GO:0000502,GO:0008540,GO:0005829,GO:0043234;Note=Non-ATPase%20base%20subunit%20of%20the%2019S%20regulatory%20particle%20(RP)%20of%20the%2026S%20proteasome%3B%20N-terminus%20plays%20a%20role%20in%20maintaining%20the%20structural%20integrity%20of%20the%20RP%3B%20binds%20selectively%20to%20polyubiquitin%20chains%3B%20homolog%20of%20the%20mammalian%20S5a%20protein;dbxref=SGD:S000001243;orf_classification=Verified","YHR200W"
"6153","chr08","SGD","gene",480803,481996,NA,"-",NA,"ID=YHR201C;Name=YHR201C;gene=PPX1;Alias=PPX1;Ontology_term=GO:0004309,GO:0005737,GO:0006797,GO:0005759,GO:0005829,GO:0005886,GO:0016462,GO:0016787,GO:0030145,GO:0046872;Note=Exopolyphosphatase%2C%20hydrolyzes%20inorganic%20polyphosphate%20(poly%20P)%20into%20Pi%20residues%3B%20located%20in%20the%20cytosol%2C%20plasma%20membrane%2C%20and%20mitochondrial%20matrix;dbxref=SGD:S000001244;orf_classification=Verified","YHR201C"
"6156","chr08","SGD","gene",483250,485055,NA,"+",NA,"ID=YHR202W;Name=YHR202W;Ontology_term=GO:0003674,GO:0008150,GO:0005625,GO:0000324,GO:0009166,GO:0016787;Note=Putative%20protein%20of%20unknown%20function%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20vacuole%2C%20while%20HA-tagged%20protein%20is%20found%20in%20the%20soluble%20fraction%2C%20suggesting%20cytoplasmic%20localization;dbxref=SGD:S000001245;orf_classification=Uncharacterized","YHR202W"
"6158","chr08","SGD","gene",485336,486380,NA,"-",NA,"ID=YHR203C;Name=YHR203C;gene=RPS4B;Alias=RPS4B;Ontology_term=GO:0003735,GO:0005843,GO:0006412,GO:0000723,GO:0003723,GO:0005622,GO:0005840,GO:0019843,GO:0030529;Note=Protein%20component%20of%20the%20small%20(40S)%20ribosomal%20subunit%3B%20identical%20to%20Rps4Ap%20and%20has%20similarity%20to%20rat%20S4%20ribosomal%20protein;dbxref=SGD:S000001246;orf_classification=Verified","YHR203C"
"6162","chr08","SGD","gene",487171,489564,NA,"+",NA,"ID=YHR204W;Name=YHR204W;gene=MNL1;Alias=MNL1,HTM1;Ontology_term=GO:0030246,GO:0030433,GO:0005783,GO:0004571,GO:0005509,GO:0008152,GO:0016020,GO:0016787,GO:0016798;Note=Alpha%20mannosidase-like%20protein%20of%20the%20endoplasmic%20reticulum%20required%20for%20degradation%20of%20glycoproteins%20but%20not%20for%20processing%20of%20N-linked%20oligosaccharides;dbxref=SGD:S000001247;orf_classification=Verified","YHR204W"
"6164","chr08","SGD","gene",490222,492701,NA,"+",NA,"ID=YHR205W;Name=YHR205W;gene=SCH9;Alias=SCH9,KOM1;Ontology_term=GO:0004674,GO:0006468,GO:0001324,GO:0005737,GO:0005634,GO:0000329,GO:0001302,GO:0008361,GO:0000166,GO:0004672,GO:0005524,GO:0016301,GO:0016740;Note=Protein%20kinase%20that%20regulates%20signal%20transduction%20activity%20and%20G1%20progression%2C%20controls%20cAPK%20activity%2C%20required%20for%20nitrogen%20activation%20of%20the%20FGM%20pathway%2C%20involved%20in%20life%20span%20regulation%2C%20homologous%20to%20mammalian%20Akt%2FPKB;dbxref=SGD:S000001248;orf_classification=Verified","YHR205W"
"6166","chr08","SGD","gene",493599,495473,NA,"+",NA,"ID=YHR206W;Name=YHR206W;gene=SKN7;Alias=SKN7,POS9,BRY1;Ontology_term=GO:0000304,GO:0005634,GO:0000156,GO:0006979,GO:0006970,GO:0003700,GO:0006350,GO:0008361,GO:0000160,GO:0003677,GO:0006355,GO:0043565;Note=Nuclear%20response%20regulator%20and%20transcription%20factor%2C%20part%20of%20a%20branched%20two-component%20signaling%20system%3B%20required%20for%20optimal%20induction%20of%20heat-shock%20genes%20in%20response%20to%20oxidative%20stress%3B%20involved%20in%20osmoregulation;dbxref=SGD:S000001249;orf_classification=Verified","YHR206W"
"6168","chr08","SGD","gene",495778,497358,NA,"-",NA,"ID=YHR207C;Name=YHR207C;gene=SET5;Alias=SET5;Ontology_term=GO:0008150,GO:0003674,GO:0005634,GO:0005737;Note=Zinc-finger%20protein%20of%20unknown%20function%2C%20contains%20one%20canonical%20and%20two%20unusual%20fingers%20in%20unusual%20arrangements%3B%20deletion%20enhances%20replication%20of%20positive-strand%20RNA%20virus;dbxref=SGD:S000001250;orf_classification=Verified","YHR207C"
"6170","chr08","SGD","gene",498423,499604,NA,"+",NA,"ID=YHR208W;Name=YHR208W;gene=BAT1;Alias=BAT1,TWT1,ECA39;Ontology_term=GO:0005759,GO:0004084,GO:0009082,GO:0009083,GO:0005739,GO:0003824,GO:0008152,GO:0008483,GO:0008652,GO:0009081,GO:0016740;Note=Mitochondrial%20branched-chain%20amino%20acid%20aminotransferase%2C%20homolog%20of%20murine%20ECA39%3B%20highly%20expressed%20during%20logarithmic%20phase%20and%20repressed%20during%20stationary%20phase;dbxref=SGD:S000001251;orf_classification=Verified","YHR208W"
"6172","chr08","SGD","gene",500298,501235,NA,"+",NA,"ID=YHR209W;Name=YHR209W;gene=CRG1;Alias=CRG1;Ontology_term=GO:0008757,GO:0008150,GO:0005575,GO:0008152,GO:0008168;Note=Putative%20S-adenosylmethionine-dependent%20methyltransferase%3B%20mediates%20cantharidin%20resistance;dbxref=SGD:S000001252;orf_classification=Uncharacterized","YHR209W"
"6174","chr08","SGD","gene",501635,502660,NA,"-",NA,"ID=YHR210C;Name=YHR210C;Ontology_term=GO:0008150,GO:0003674,GO:0005575,GO:0005975,GO:0016853;Note=Putative%20protein%20of%20unknown%20function%3B%20non-essential%20gene%3B%20highly%20expressed%20under%20anaeorbic%20conditions%3B%20sequence%20similarity%20to%20aldose%201-epimerases%20such%20as%20GAL10;dbxref=SGD:S000001253;orf_classification=Uncharacterized","YHR210C"
"6176","chr08","SGD","gene",523435,523749,NA,"-",NA,"ID=YHR212C;Name=YHR212C;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20functional%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000001255;orf_classification=Dubious","YHR212C"
"6178","chr08","SGD","gene",524439,524642,NA,"+",NA,"ID=YHR212W-A;Name=YHR212W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028650;orf_classification=Uncharacterized","YHR212W-A"
"6180","chr08","SGD","gene",524845,525438,NA,"+",NA,"ID=YHR213W;Name=YHR213W;Ontology_term=GO:0003674,GO:0005575,GO:0008150,GO:0000128;Note=Putative%20protein%20of%20unknown%20function;dbxref=SGD:S000001256;orf_classification=Uncharacterized","YHR213W"
"6182","chr08","SGD","gene",527408,527641,NA,"+",NA,"ID=YHR213W-A;Name=YHR213W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575,GO:0016020,GO:0016021;Note=Putative%20protein%20of%20unknown%20function%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028651;orf_classification=Uncharacterized","YHR213W-A"
"6184","chr08","SGD","gene",527659,527980,NA,"+",NA,"ID=YHR213W-B;Name=YHR213W-B;Ontology_term=GO:0008150,GO:0005575,GO:0003674;Note=Putative%20protein%20of%20unknown%20function%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028652;orf_classification=Uncharacterized","YHR213W-B"
"6186","chr08","SGD","gene",528531,529142,NA,"+",NA,"ID=YHR214W;Name=YHR214W;Ontology_term=GO:0008150,GO:0005575,GO:0003674;Note=Putative%20protein%20of%20unknown%20function%3B%20predicted%20to%20be%20a%20glycosylphosphatidylinositol-modified%20(GPI)%20protein;dbxref=SGD:S000001257;orf_classification=Uncharacterized","YHR214W"
"6188","chr08","SGD","gene",529891,530394,NA,"+",NA,"ID=YHR214W-A;Name=YHR214W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20experimental%20and%20comparative%20sequence%20data%3B%20similar%20to%20the%20fungal%20specific%20protein%20encoded%20by%20YAR068W%3B%20induced%20by%20zinc%20deficiency;dbxref=SGD:S000003535;orf_classification=Dubious","YHR214W-A"
"6190","chr08","SGD","gene",533959,534433,NA,"-",NA,"ID=YHR214C-E;Name=YHR214C-E;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028654;orf_classification=Uncharacterized","YHR214C-E"
"6192","chr08","SGD","gene",535029,536432,NA,"+",NA,"ID=YHR215W;Name=YHR215W;gene=PHO12;Alias=PHO12,PHO10;Ontology_term=GO:0003993,GO:0008150,GO:0000324,GO:0016787;Note=One%20of%20three%20repressible%20acid%20phosphatases%2C%20a%20glycoprotein%20that%20is%20transported%20to%20the%20cell%20surface%20by%20the%20secretory%20pathway%3B%20nearly%20identical%20to%20Pho11p%3B%20upregulated%20by%20phosphate%20starvation;dbxref=SGD:S000001258;orf_classification=Verified","YHR215W"
"6202","chr09","SGD","gene",11474,13102,NA,"-",NA,"ID=YIL166C;Name=YIL166C;Ontology_term=GO:0005215,GO:0006810,GO:0016020,GO:0016021;Note=Putative%20protein%20with%20similarity%20to%20the%20allantoate%20permease%20(Dal5p)%20subfamily%20of%20the%20major%20facilitator%20superfamily%3B%20mRNA%20expression%20is%20elevated%20by%20sulfur%20limitation%3B%20YIL166C%20is%20a%20non-essential%20gene;dbxref=SGD:S000001428;orf_classification=Uncharacterized","YIL166C"
"6204","chr09","SGD","gene",14270,14629,NA,"-",NA,"ID=YIL165C;Name=YIL165C;Ontology_term=GO:0003674,GO:0008150,GO:0005575,GO:0006807,GO:0016810,GO:0016829;Note=Putative%20protein%20of%20unknown%20function%3B%20in%20closely%20related%20species%20and%20other%20S.%20cerevisiae%20strain%20backgrounds%20YIL165C%20and%20adjacent%20ORF%2C%20YIL164C%2C%20likely%20constitute%20a%20single%20ORF%20encoding%20a%20nitrilase%20gene;dbxref=SGD:S000001427;orf_classification=Uncharacterized","YIL165C"
"6206","chr09","SGD","gene",14639,15238,NA,"-",NA,"ID=YIL164C;Name=YIL164C;gene=NIT1;Alias=NIT1;Ontology_term=GO:0005575,GO:0000257,GO:0008150,GO:0006807,GO:0016810,GO:0016829;Note=Nitrilase%2C%20member%20of%20the%20nitrilase%20branch%20of%20the%20nitrilase%20superfamily%3B%20in%20closely%20related%20species%20and%20other%20S.%20cerevisiae%20strain%20backgrounds%20YIL164C%20and%20adjacent%20ORF%2C%20YIL165C%2C%20likely%20constitute%20a%20single%20ORF%20encoding%20a%20nitrilase%20gene;dbxref=SGD:S000001426;orf_classification=Verified","YIL164C"
"6208","chr09","SGD","gene",17513,17874,NA,"-",NA,"ID=YIL163C;Name=YIL163C;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20functional%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000001425;orf_classification=Dubious","YIL163C"
"6211","chr09","SGD","gene",18006,19604,NA,"+",NA,"ID=YIL162W;Name=YIL162W;gene=SUC2;Alias=SUC2;Ontology_term=GO:0004564,GO:0005576,GO:0005737,GO:0005739,GO:0005987,GO:0004553,GO:0005975,GO:0008152,GO:0016787,GO:0016798;Note=Invertase%2C%20sucrose%20hydrolyzing%20enzyme%3B%20a%20secreted%2C%20glycosylated%20form%20is%20regulated%20by%20glucose%20repression%2C%20and%20an%20intracellular%2C%20nonglycosylated%20enzyme%20is%20produced%20constitutively;dbxref=SGD:S000001424;orf_classification=Verified","YIL162W"
"6213","chr09","SGD","gene",20103,20807,NA,"+",NA,"ID=YIL161W;Name=YIL161W;Ontology_term=GO:0008150,GO:0003674,GO:0005737;Note=Putative%20protein%20of%20unknown%20function%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20cytoplasm%3B%20mRNA%20is%20enriched%20in%20Scp160p-associated%20mRNPs%3B%20YIL161W%20is%20a%20non-essential%20gene;dbxref=SGD:S000001423;orf_classification=Uncharacterized","YIL161W"
"6215","chr09","SGD","gene",20856,22109,NA,"-",NA,"ID=YIL160C;Name=YIL160C;gene=POT1;Alias=POT1,POX3,FOX3;Ontology_term=GO:0003988,GO:0006635,GO:0005782,GO:0005777,GO:0006629,GO:0006631,GO:0008415,GO:0016740;Note=3-ketoacyl-CoA%20thiolase%20with%20broad%20chain%20length%20specificity%2C%20cleaves%203-ketoacyl-CoA%20into%20acyl-CoA%20and%20acetyl-CoA%20during%20beta-oxidation%20of%20fatty%20acids;dbxref=SGD:S000001422;orf_classification=Verified","YIL160C"
"6217","chr09","SGD","gene",22489,26598,NA,"+",NA,"ID=YIL159W;Name=YIL159W;gene=BNR1;Alias=BNR1;Ontology_term=GO:0007120,GO:0006970,GO:0000142,GO:0007015,GO:0008092,GO:0003779,GO:0016043,GO:0017048,GO:0030036;Note=Formin%2C%20nucleates%20the%20formation%20of%20linear%20actin%20filaments%2C%20involved%20in%20cell%20processes%20such%20as%20budding%20and%20mitotic%20spindle%20orientation%20which%20require%20the%20formation%20of%20polarized%20actin%20cables%2C%20functionally%20redundant%20with%20BNI1;dbxref=SGD:S000001421;orf_classification=Verified","YIL159W"
"6219","chr09","SGD","gene",26850,27464,NA,"+",NA,"ID=YIL158W;Name=YIL158W;Ontology_term=GO:0008150,GO:0003674,GO:0000324,GO:0016020,GO:0016021;Note=Putative%20protein%20of%20unknown%20function%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20vacuole;dbxref=SGD:S000001420;orf_classification=Uncharacterized","YIL158W"
"6221","chr09","SGD","gene",27587,28209,NA,"-",NA,"ID=YIL157C;Name=YIL157C;gene=COA1;Alias=COA1,FMP35;Ontology_term=GO:0003674,GO:0005739,GO:0016020,GO:0016021,GO:0045727,GO:0008535,GO:0032592;Note=Protein%20required%20for%20assembly%20of%20the%20cytochrome%20c%20oxidase%20complex%20(complex%20IV%20of%20the%20mitochondrial%20respiratory%20chain)%3B%20probable%20mitochondrial%20inner%20membrane%20protein%3B%20interacts%20with%20COX1%20regulatory%20proteins%20MSS1%20and%20COX14;dbxref=SGD:S000001419;orf_classification=Uncharacterized","YIL157C"
"6223","chr09","SGD","gene",27959,28361,NA,"+",NA,"ID=YIL156W-A;Name=YIL156W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20functional%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000028797;orf_classification=Dubious","YIL156W-A"
"6225","chr09","SGD","gene",28358,28643,NA,"+",NA,"ID=YIL156W-B;Name=YIL156W-B;Ontology_term=GO:0008150,GO:0005575,GO:0003674;Note=Putative%20protein%20of%20unknown%20function%2C%20originally%20identified%20based%20on%20homology%20to%20Ashbya%20gossypii%20and%20other%20related%20yeasts;dbxref=SGD:S000028511;orf_classification=Uncharacterized","YIL156W-B"
"6229","chr09","SGD","gene",28763,31966,NA,"+",NA,"ID=YIL156W;Name=YIL156W;gene=UBP7;Alias=UBP7;Ontology_term=GO:0004843,GO:0005737,GO:0016579,GO:0004221,GO:0006511,GO:0006512,GO:0008233,GO:0008234,GO:0016787;Note=Ubiquitin-specific%20protease%20that%20cleaves%20ubiquitin-protein%20fusions;dbxref=SGD:S000001418;orf_classification=Verified","YIL156W"
"6231","chr09","SGD","gene",32396,34345,NA,"-",NA,"ID=YIL155C;Name=YIL155C;gene=GUT2;Alias=GUT2;Ontology_term=GO:0004368,GO:0005739,GO:0005975,GO:0006116,GO:0031307,GO:0006072,GO:0006118,GO:0009331,GO:0016020,GO:0016491;Note=Mitochondrial%20glycerol-3-phosphate%20dehydrogenase%3B%20expression%20is%20repressed%20by%20both%20glucose%20and%20cAMP%20and%20derepressed%20by%20non-fermentable%20carbon%20sources%20in%20a%20Snf1p%2C%20Rsf1p%2C%20Hap2%2F3%2F4%2F5%20complex%20dependent%20manner;dbxref=SGD:S000001417;orf_classification=Verified","YIL155C"
"6233","chr09","SGD","gene",34619,35653,NA,"-",NA,"ID=YIL154C;Name=YIL154C;gene=IMP2';Alias=IMP2',IMP2;Ontology_term=GO:0006281,GO:0005975,GO:0003713,GO:0005737;Note=Transcriptional%20activator%20involved%20in%20maintenance%20of%20ion%20homeostasis%20and%20protection%20against%20DNA%20damage%20caused%20by%20bleomycin%20and%20other%20oxidants%2C%20contains%20a%20C-terminal%20leucine-rich%20repeat;dbxref=SGD:S000001416;orf_classification=Verified","YIL154C"
"6235","chr09","SGD","gene",35832,37013,NA,"+",NA,"ID=YIL153W;Name=YIL153W;gene=RRD1;Alias=RRD1,YPA1;Ontology_term=GO:0000267,GO:0006281,GO:0008601,GO:0006970,GO:0030472,GO:0005737,GO:0005634,GO:0003755,GO:0016853,GO:0019211;Note=Activator%20of%20the%20phosphotyrosyl%20phosphatase%20activity%20of%20PP2A%2C%20peptidyl-prolyl%20cis%2Ftrans-isomerase%3B%20regulates%20G1%20phase%20progression%2C%20microtubule%20dynamics%2C%20bud%20morphogenesis%20and%20DNA%20repair%3B%20subunit%20of%20the%20Tap42p-Sit4p-Rrd1p%20complex;dbxref=SGD:S000001415;orf_classification=Verified","YIL153W"
"6237","chr09","SGD","gene",37176,37888,NA,"+",NA,"ID=YIL152W;Name=YIL152W;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Putative%20protein%20of%20unknown%20function;dbxref=SGD:S000001414;orf_classification=Uncharacterized","YIL152W"
"6239","chr09","SGD","gene",37966,41322,NA,"-",NA,"ID=YIL151C;Name=YIL151C;Ontology_term=GO:0003674,GO:0008150,GO:0005575,GO:0000166,GO:0005524;Note=Putative%20protein%20of%20unknown%20function%2C%20predicted%20to%20contain%20a%20PINc%20(PilT%20N%20terminus)%20domain;dbxref=SGD:S000001413;orf_classification=Uncharacterized","YIL151C"
"6241","chr09","SGD","gene",41641,43356,NA,"-",NA,"ID=YIL150C;Name=YIL150C;gene=MCM10;Alias=MCM10,DNA43;Ontology_term=GO:0003682,GO:0006270,GO:0005634,GO:0006271,GO:0006348,GO:0030466,GO:0005515,GO:0003688,GO:0000084,GO:0005657,GO:0006260,GO:0007049,GO:0008270,GO:0046872;Note=Essential%20chromatin-associated%20protein%20involved%20in%20the%20initiation%20of%20DNA%20replication%3B%20required%20for%20the%20association%20of%20the%20MCM2-7%20complex%20with%20replication%20origins;dbxref=SGD:S000001412;orf_classification=Verified","YIL150C"
"6243","chr09","SGD","gene",43656,48695,NA,"-",NA,"ID=YIL149C;Name=YIL149C;gene=MLP2;Alias=MLP2;Ontology_term=GO:0005635,GO:0005654,GO:0005739,GO:0043021,GO:0045449,GO:0006406,GO:0006606,GO:0030529,GO:0004106,GO:0005634,GO:0009073;Note=Myosin-like%20protein%20associated%20with%20the%20nuclear%20envelope%2C%20connects%20the%20nuclear%20pore%20complex%20with%20the%20nuclear%20interior%3B%20involved%20in%20the%20Tel1p%20pathway%20that%20controls%20telomere%20length;dbxref=SGD:S000001411;orf_classification=Verified","YIL149C"
"6245","chr09","SGD","gene",49351,50210,NA,"+",NA,"ID=YIL148W;Name=YIL148W;gene=RPL40A;Alias=RPL40A,UB11,UBI1,CEP52A;Ontology_term=GO:0005842,GO:0003735,GO:0006412,GO:0042254,GO:0016567,GO:0031386,GO:0005634,GO:0006281,GO:0006464,GO:0006974;Note=Fusion%20protein%2C%20identical%20to%20Rpl40Bp%2C%20that%20is%20cleaved%20to%20yield%20ubiquitin%20and%20a%20ribosomal%20protein%20of%20the%20large%20(60S)%20ribosomal%20subunit%20with%20similarity%20to%20rat%20L40%3B%20ubiquitin%20may%20facilitate%20assembly%20of%20the%20ribosomal%20protein%20into%20ribosomes;dbxref=SGD:S000001410;orf_classification=Verified","YIL148W"
"6249","chr09","SGD","gene",50474,54139,NA,"-",NA,"ID=YIL147C;Name=YIL147C;gene=SLN1;Alias=SLN1,YPD2;Ontology_term=GO:0005034,GO:0005886,GO:0000155,GO:0006468,GO:0042542,GO:0004673,GO:0007234,GO:0000156,GO:0000160,GO:0000287,GO:0005524,GO:0006355,GO:0007165,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0018106,GO:0046872;Note=Histidine%20kinase%20osmosensor%20that%20regulates%20a%20MAP%20kinase%20cascade%3B%20transmembrane%20protein%20with%20an%20intracellular%20kinase%20domain%20that%20signals%20to%20Ypd1p%20and%20Ssk1p%2C%20thereby%20forming%20a%20phosphorelay%20system%20similar%20to%20bacterial%20two-component%20regulators;dbxref=SGD:S000001409;orf_classification=Verified","YIL147C"
"6251","chr09","SGD","gene",54867,56453,NA,"-",NA,"ID=YIL146C;Name=YIL146C;gene=ECM37;Alias=ECM37;Ontology_term=GO:0007047,GO:0003674,GO:0005575,GO:0016020,GO:0016021;Note=Non-essential%20protein%20of%20unknown%20function;dbxref=SGD:S000001408;orf_classification=Verified","YIL146C"
